"caseId","docketId","caseIssuesId","voteId","dateDecision","decisionType","usCite","sctCite","ledCite","lexisCite","term","naturalCourt","chief","docket","caseName","dateArgument","dateRearg","petitioner","petitionerState","respondent","respondentState","jurisdiction","adminAction","adminActionState","threeJudgeFdc","caseOrigin","caseOriginState","caseSource","caseSourceState","lcDisagreement","certReason","lcDisposition","lcDispositionDirection","declarationUncon","caseDisposition","caseDispositionUnusual","partyWinning","precedentAlteration","voteUnclear","issue","issueArea","decisionDirection","decisionDirectionDissent","authorityDecision1","authorityDecision2","lawType","lawSupp","lawMinor","majOpinWriter","majOpinAssigner","splitVote","majVotes","minVotes","justice","justiceName","vote","opinion","direction","majority","firstAgreement","secondAgreement"
"1803-002","1803-002-01","1803-002-01-01","1803-002-01-01-01-04",2/17/1803,6,"5 U.S. 212",,"2 L. Ed. 85","1803 U.S. LEXIS 355",1803,401,"Marshall",,"CLARKE v. BAZADONE",2/12/1803,,138,,135,,13,,,0,17,41,17,41,0,1,,1,1,9,0,0,0,0,90510,9,1,0,4,,6,600,"Northwest Ordinance of 1787",,14,1,6,0,10,"SChase",1,1,1,2,,
"1803-002","1803-002-01","1803-002-01-01","1803-002-01-01-01-05",2/17/1803,6,"5 U.S. 212",,"2 L. Ed. 85","1803 U.S. LEXIS 355",1803,401,"Marshall",,"CLARKE v. BAZADONE",2/12/1803,,138,,135,,13,,,0,17,41,17,41,0,1,,1,1,9,0,0,0,0,90510,9,1,0,4,,6,600,"Northwest Ordinance of 1787",,14,1,6,0,12,"BWashington",1,1,1,2,,
"1803-002","1803-002-01","1803-002-01-01","1803-002-01-01-01-06",2/17/1803,6,"5 U.S. 212",,"2 L. Ed. 85","1803 U.S. LEXIS 355",1803,401,"Marshall",,"CLARKE v. BAZADONE",2/12/1803,,138,,135,,13,,,0,17,41,17,41,0,1,,1,1,9,0,0,0,0,90510,9,1,0,4,,6,600,"Northwest Ordinance of 1787",,14,1,6,0,13,"AMoore",1,1,1,2,,
"1803-003","1803-003-01","1803-003-01-01","1803-003-01-01-01-01",2/23/1803,1,"5 U.S. 214",,"2 L. Ed. 86","1803 U.S. LEXIS 356",1803,401,"Marshall",,"HOOE AND CO. v. GROVERMAN",2/16/1803,,234,,195,,13,,,0,440,,440,,0,1,,3,1,4,0,1,0,0,140020,14,3,0,7,4,6,600,,14,14,1,6,0,14,"JMarshall",1,2,,2,,
"1803-003","1803-003-01","1803-003-01-01","1803-003-01-01-01-02",2/23/1803,1,"5 U.S. 214",,"2 L. Ed. 86","1803 U.S. LEXIS 356",1803,401,"Marshall",,"HOOE AND CO. v. GROVERMAN",2/16/1803,,234,,195,,13,,,0,440,,440,,0,1,,3,1,4,0,1,0,0,140020,14,3,0,7,4,6,600,,14,14,1,6,0,3,"WCushing",1,1,,2,,
"1803-003","1803-003-01","1803-003-01-01","1803-003-01-01-01-03",2/23/1803,1,"5 U.S. 214",,"2 L. Ed. 86","1803 U.S. LEXIS 356",1803,401,"Marshall",,"HOOE AND CO. v. GROVERMAN",2/16/1803,,234,,195,,13,,,0,440,,440,,0,1,,3,1,4,0,1,0,0,140020,14,3,0,7,4,6,600,,14,14,1,6,0,8,"WPaterson",1,1,,2,,
"1803-003","1803-003-01","1803-003-01-01","1803-003-01-01-01-04",2/23/1803,1,"5 U.S. 214",,"2 L. Ed. 86","1803 U.S. LEXIS 356",1803,401,"Marshall",,"HOOE AND CO. v. GROVERMAN",2/16/1803,,234,,195,,13,,,0,440,,440,,0,1,,3,1,4,0,1,0,0,140020,14,3,0,7,4,6,600,,14,14,1,6,0,10,"SChase",1,1,,2,,
"1803-003","1803-003-01","1803-003-01-01","1803-003-01-01-01-05",2/23/1803,1,"5 U.S. 214",,"2 L. Ed. 86","1803 U.S. LEXIS 356",1803,401,"Marshall",,"HOOE AND CO. v. GROVERMAN",2/16/1803,,234,,195,,13,,,0,440,,440,,0,1,,3,1,4,0,1,0,0,140020,14,3,0,7,4,6,600,,14,14,1,6,0,12,"BWashington",1,1,,2,,
"1803-003","1803-003-01","1803-003-01-01","1803-003-01-01-01-06",2/23/1803,1,"5 U.S. 214",,"2 L. Ed. 86","1803 U.S. LEXIS 356",1803,401,"Marshall",,"HOOE AND CO. v. GROVERMAN",2/16/1803,,234,,195,,13,,,0,440,,440,,0,1,,3,1,4,0,1,0,0,140020,14,3,0,7,4,6,600,,14,14,1,6,0,13,"AMoore",1,1,,2,,
"1803-004","1803-004-01","1803-004-01-01","1803-004-01-01-01-01",2/23/1803,1,"5 U.S. 252",,"2 L. Ed. 98","1803 U.S. LEXIS 358",1803,401,"Marshall",,"UNITED STATES v. SIMMS",2/17/1803,,27,,100,,13,,,0,440,,440,,0,1,,1,1,2,0,0,0,0,90090,9,1,0,4,,6,600,"Act of Congress of February 27, 1801",14,14,1,6,0,14,"JMarshall",1,2,1,2,,
